in	138191
es	111981
ti	107817
on	104184
te	99043
re	92564
at	92497
an	91435
en	90296
al	88896
ed	83811
st	83006
le	80707
ri	79270
ra	79077
is	78759
ic	77528
ne	73701
li	73072
ar	72821
ng	70233
ro	69809
nt	67539
or	65153
ss	61900
un	58354
la	57672
it	54424
se	54392
co	53113
de	52084
ca	51270
el	50637
ni	50040
ta	48659
to	48606
io	47292
ll	47164
tr	46103
et	45638
si	45272
ia	44990
ch	44865
no	44548
ea	44134
na	44049
ma	43944
ou	43781
di	43324
lo	43290
us	43135
ly	42508
ac	42409
he	42376
me	41580
as	40560
ol	40515
ve	39430
mi	39204
th	38678
ec	38660
nd	38264
il	37854
pe	37694
om	36725
ns	36707
ce	34788
os	34478
ph	34307
sc	33989
nc	33567
ha	33315
em	33294
hi	33086
ho	32974
ur	32292
pr	32079
op	32033
sh	31676
sp	31645
id	31273
rs	30976
ul	30406
ie	30224
sa	29912
ab	29246
ot	28928
ep	28779
su	28630
ge	27978
am	27244
po	27082
mo	27013
bl	26747
pa	26739
ap	26125
ci	25150
so	24771
oc	23996
sm	23513
ct	23325
ad	23299
ee	22806
og	22369
rt	22352
pi	22246
da	21461
do	21022
ut	20888
be	20208
ag	19645
gi	19390
gr	19032
um	18957
bi	18943
ba	18825
im	18744
du	18438
ke	18355
cr	18275
oo	18263
iv	18167
ga	18159
tu	17830
mp	17594
iz	17520
cu	17349
od	17329
ir	17293
ry	16840
rm	16821
ts	16803
hy	16656
ig	16631
eu	16578
ai	16545
vi	16526
ck	16454
lu	16381
rc	16367
tt	16361
ys	16156
pl	16116
ty	15955
ip	15910
rd	15823
fi	15785
bo	15714
dr	15495
rr	15306
eo	15286
ei	15052
 	15000
ru	14663
yp	14641
ov	14359
ds	14270
ae	13999
br	13637
if	13458
qu	13434
ze	13331
gl	13188
sl	12895
oi	12767
fo	12745
go	12689
au	12579
eg	12398
gu	12330
eb	11948
ef	11920
ow	11895
cl	11762
nn	11726
fe	11690
ub	11686
rn	11407
ex	11320
up	11219
wa	11181
rp	11099
va	10978
ls	10744
ob	10735
ki	10659
np	10557
mb	10542
bu	10514
ib	10465
yc	10380
ua	10253
sn	10244
lt	10151
uc	10140
yn	10028
��	10000
we	9955
pt	9939
ev	9921
yl	9837
hr	9702
wi	9647
ui	9327
rb	9307
sb	9271
rg	9182
fl	9093
gh	9025
oa	8881
mm	8871
av	8868
mu	8851
ya	8844
ps	8828
nf	8739
pp	8689
tl	8689
dl	8659
gs	8586
nu	8540
e-	8532
fu	8489
wo	8450
fa	8438
pu	8416
sd	8311
ud	8286
ym	8205
ue	8147
ld	8022
rl	7990
ak	7925
yt	7923
yu	7861
lp	7858
dd	7837
sr	7605
tc	7554
gn	7415
ff	7365
cy	7272
ew	7254
ht	7057
ye	7047
yr	7011
nr	7010
eh	6964
hu	6948
cc	6945
yi	6913
sy	6771
ay	6760
yd	6598
sf	6521
fr	6519
yo	6431
oe	6379
